year,host_city,host_country,country_code,country_name,sport,event,athlete_name,medal
2004,Athens,GRC,FRA,France,Fencing,Fencing event,Nadia Rossi,Bronze
1988,Seoul,KOR,URS,Soviet Union,Hockey,Hockey team event,Nadia Nielsen,Silver
1984,Los Angeles,USA,USA,United States,Judo,Judo event,Alex Novak,Silver
2000,Sydney,AUS,AUS,Australia,Basketball,Basketball team event,Ivan Petrov,Bronze
1972,Munich,FRG,ESP,Spain,Handball,Handball team event,Yuki Rossi,Gold
1964,Tokyo,JPN,KEN,Kenya,Boxing,Boxing event,John Okafor,Silver
1992,Barcelona,ESP,RUS,Russia,Judo,Judo event,Carlos Smith,Bronze
2016,Rio,BRA,ITA,Italy,Relays,Relays team event,Alex Muller,Bronze
1992,Barcelona,ESP,ESP,Spain,Wrestling,Wrestling event,Yuki Okafor,Silver
2016,Rio,BRA,BRA,Brazil,WaterPolo,WaterPolo team event,John Silva,Silver
1968,Mexico City,MEX,FRA,France,Tennis,Tennis event,Kenji Rossi,Silver
2008,Beijing,CHN,USA,United States,WaterPolo,WaterPolo team event,Yuki Okafor,Bronze
1976,Montreal,CAN,GDR,East Germany,Hockey,Hockey team event,Nadia Nielsen,Bronze
1988,Seoul,KOR,CHN,China,Relays,Relays team event,Ana Petrov,Gold
2016,Rio,BRA,NED,Netherlands,Volleyball,Volleyball team event,Sofia Tanaka,Bronze
1992,Barcelona,ESP,BRA,Brazil,Volleyball,Volleyball team event,Omar Park,Bronze
2012,London,GBR,CAN,Canada,Rowing,Rowing team event,Diego Andersson,Bronze
1976,Montreal,CAN,JPN,Japan,Volleyball,Volleyball team event,Liu Petrov,Silver
1968,Mexico City,MEX,AUS,Australia,WaterPolo,WaterPolo team event,Lars Wang,Gold
1972,Munich,FRG,TCH,Czechoslovakia,WaterPolo,WaterPolo team event,Wei Andersson,Bronze
1988,Seoul,KOR,KOR,South Korea,Judo,Judo event,Alex Okafor,1st
1960,Rome,ITA,MEX,Mexico,Relays,Relays team event,Wei Andersson,Gold
2012,London,GBR,CZE,Czech Republic,Hockey,Hockey team event,Elena Kim,Gold
2000,Sydney,AUS,JPN,Japan,Boxing,Boxing event,John Zhang,Bronze
1968,Mexico City,MEX,URS,Soviet Union,Athletics,Athletics event,Maria Lopez,Silver
1988,Seoul,KOR,BRA,Brazil,Volleyball,Volleyball team event,Diego Novak,Silver
2008,Beijing,CHN,NOR,Norway,Boxing,Boxing event,Anna Park,Silver
1996,Atlanta,USA,CHN,China,Handball,Handball team event,Ana Park,Silver
1976,Montreal,CAN,USA,United States,Football,Football team event,Marco Wang,Gold
1996,Atlanta,USA,USA,United States,Rowing,Rowing team event,Nadia Muller,Silver
2000,Sydney,AUS,AUS,Australia,Fencing,Fencing event,Diego Costa,Bronze
1968,Mexico City,MEX,FRA,France,Cycling,Cycling event,Maria Novak,Silver
2004,Athens,GRC,GBR,Great Britain,Athletics,Athletics event,Sofia Lopez,Silver
2016,Rio,BRA,MEX,Mexico,Hockey,Hockey team event,Kenji Zhang,Silver
1984,Los Angeles,USA,USA,United States,Football,Football team event,Kenji Tanaka,Gold
2012,London,GBR,RUS,Russia,Hockey,Hockey team event,Ivan Silva,Bronze
2000,Sydney,AUS,FRA,France,Wrestling,Wrestling event,Wei Kovac,Bronze
1992,Barcelona,ESP,CRO,Croatia,Handball,Handball team event,Alex Kim,Gold
1996,Atlanta,USA,HUN,Hungary,Hockey,Hockey team event,Carlos Wang,Bronze
2012,London,GBR,ESP,Spain,Rowing,Rowing team event,Ivan Okafor,Gold
1992,Barcelona,ESP,GBR,Great Britain,Handball,Handball team event,Ana Smith,Silver
1960,Rome,ITA,CHN,China,Handball,Handball team event,Sven Muller,Bronze
1980,Moscow,URS,URS,Soviet Union,Rowing,Rowing team event,Wei Kovac,Bronze
1984,Los Angeles,USA,JPN,Japan,Basketball,Basketball team event,Nadia Lopez,Gold
1996,Atlanta,USA,RUS,Russia,Wrestling,Wrestling event,Anna Okafor,Silver
1996,Atlanta,USA,USA,United States,WaterPolo,WaterPolo team event,Elena Andersson,Gold
2016,Rio,BRA,USA,United States,Cycling,Cycling event,Nadia Costa,Silver
1992,Barcelona,ESP,GBR,Great Britain,Boxing,Boxing event,Omar Petrov,Gold
1972,Munich,FRG,CHN,China,Football,Football team event,Ana Okafor,Bronze
1976,Montreal,CAN,GRC,Greece,Volleyball,Volleyball team event,Elena Ahmed,Bronze
1992,Barcelona,ESP,CUB,Cuba,Relays,Relays team event,Diego Andersson,Gold
2008,Beijing,CHN,RUS,Russia,Athletics,Athletics event,John Petrov,Silver
2012,London,GBR,GBR,Great Britain,Football,Football team event,Marco Petrov,Gold
2016,Rio,BRA,RUS,Russia,Hockey,Hockey team event,Maria Novak,Gold
1980,Moscow,URS,GDR,East Germany,Volleyball,Volleyball team event,Alex Kovac,Gold
2004,Athens,GRC,JPN,Japan,Cycling,Cycling event,Liu Petrov,Bronze
2008,Beijing,CHN,CHN,China,Basketball,Basketball team event,Diego Andersson,Bronze
1968,Mexico City,MEX,FRA,France,Fencing,Fencing event,Marco Smith,Bronze
1996,Atlanta,USA,NOR,Norway,Basketball,Basketball team event,Diego Okafor,Silver
1988,Seoul,KOR,GBR,Great Britain,WaterPolo,WaterPolo team event,Liu Zhang,Silver
1996,Atlanta,USA,CAN,Canada,WaterPolo,WaterPolo team event,Pavel Kim,Bronze
2016,Rio,BRA,USA,United States,Athletics,Athletics event,Elena Wang,Bronze
1960,Rome,ITA,ESP,Spain,Swimming,Swimming event,Maria Tanaka,Gold
1976,Montreal,CAN,FRA,France,Rowing,Rowing team event,Nadia Lopez,Silver
2012,London,GBR,FRA,France,Volleyball,Volleyball team event,Yuki Nielsen,Silver
2008,Beijing,CHN,USA,United States,Volleyball,Volleyball team event,John Okafor,Silver
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Kenji Andersson,Bronze
1996,Atlanta,USA,USA,United States,Wrestling,Wrestling event,Diego Andersson,Gold
2000,Sydney,AUS,USA,United States,Hockey,Hockey team event,Diego Okafor,Bronze
1984,Los Angeles,USA,KEN,Kenya,Swimming,Swimming event,Pavel Muller,Bronze
2012,London,GBR,USA,United States,Basketball,Basketball team event,Yuki Ahmed,Silver
1972,Munich,FRG,GBR,Great Britain,Athletics,Athletics event,Lars Costa,Silver
2012,London,GBR,KEN,Kenya,Shooting,Shooting event,Omar Zhang,Silver
1960,Rome,ITA,JPN,Japan,WaterPolo,WaterPolo team event,Marco Zhang,Silver
1980,Moscow,URS,URS,Soviet Union,Handball,Handball team event,Liu Nielsen,Silver
1976,Montreal,CAN,URS,Soviet Union,Swimming,Swimming event,Elena Ahmed,Silver
1988,Seoul,KOR,JPN,Japan,Rowing,Rowing team event,Pavel Smith,Bronze
2012,London,GBR,GBR,Great Britain,Volleyball,Volleyball team event,Ivan Kim,Silver
1968,Mexico City,MEX,CHN,China,Weightlifting,Weightlifting event,Omar Wang,Gold
1996,Atlanta,USA,USA,United States,WaterPolo,WaterPolo team event,Alex Kovac,Gold
1980,Moscow,URS,URS,Soviet Union,Basketball,Basketball team event,Nadia Petrov,Silver
2016,Rio,BRA,JPN,Japan,Relays,Relays team event,Carlos Park,Bronze
1984,Los Angeles,USA,USA,United States,Rowing,Rowing team event,Ivan Zhang,Bronze
1988,Seoul,KOR,HUN,Hungary,Hockey,Hockey team event,Sofia Kim,Bronze
1960,Rome,ITA,BRA,Brazil,Basketball,Basketball team event,Anna Silva,Silver
1976,Montreal,CAN,FRA,France,Volleyball,Volleyball team event,Marco Kim,Silver
2012,London,GBR,NOR,Norway,Rowing,Rowing team event,Wei Smith,Silver
1988,Seoul,KOR,BRA,Brazil,Handball,Handball team event,Sven Petrov,Silver
1964,Tokyo,JPN,ESP,Spain,Athletics,Athletics event,Sven Smith,Gold
2016,Rio,BRA,RUS,Russia,Shooting,Shooting event,Pavel Zhang,Silver
1988,Seoul,KOR,KOR,South Korea,Handball,Handball team event,Anna Kim,Gold
1980,Moscow,URS,URS,Soviet Union,Boxing,Boxing event,Maria Nielsen,Silver
1976,Montreal,CAN,ESP,Spain,Volleyball,Volleyball team event,Ana Kovac,Bronze
1976,Montreal,CAN,ESP,Spain,Volleyball,Volleyball team event,Nadia Silva,Bronze
1996,Atlanta,USA,CHN,China,Fencing,Fencing event,John Silva,Bronze
1960,Rome,ITA,URS,Soviet Union,Basketball,Basketball team event,Maria Ahmed,Gold
1972,Munich,FRG,AUS,Australia,Wrestling,Wrestling event,Diego Kim,Gold
1992,Barcelona,ESP,GER,Germany,Swimming,Swimming event,Wei Kim,Silver
2008,Beijing,CHN,USA,United States,Football,Football team event,John Silva,Silver
2004,Athens,GRC,GER,Germany,Hockey,Hockey team event,Ana Wang,Bronze
1972,Munich,FRG,AUS,Australia,Rowing,Rowing team event,Liu Petrov,Silver
2004,Athens,GRC,GER,Germany,Wrestling,Wrestling event,Sofia Okafor,Gold
2004,Athens,GRC,JPN,Japan,Diving,Diving event,Yuki Zhang,Gold
1976,Montreal,CAN,USA,United States,WaterPolo,WaterPolo team event,Diego Smith,Gold
1960,Rome,ITA,GBR,Great Britain,Athletics,Athletics event,Nadia Petrov,Bronze
2000,Sydney,AUS,GER,Germany,Volleyball,Volleyball team event,Kenji Park,Silver
1960,Rome,ITA,BRA,Brazil,Basketball,Basketball team event,Liu Costa,Silver
1984,Los Angeles,USA,JPN,Japan,Football,Football team event,John Kovac,Silver
1960,Rome,ITA,CHN,China,Cycling,Cycling event,Anna Ahmed,Gold
1980,Moscow,URS,CHN,China,Gymnastics,Gymnastics event,Nadia Kim,Silver
1988,Seoul,KOR,ESP,Spain,Shooting,Shooting event,Carlos Silva,Silver
2004,Athens,GRC,USA,United States,Handball,Handball team event,Sven Rossi,Bronze
1992,Barcelona,ESP,CRO,Croatia,Basketball,Basketball team event,Kenji Smith,Bronze
1996,Atlanta,USA,CAN,Canada,WaterPolo,WaterPolo team event,Ana Ahmed,Bronze
1984,Los Angeles,USA,ITA,Italy,Volleyball,Volleyball team event,Pavel Silva,Gold
1980,Moscow,URS,CHN,China,Volleyball,Volleyball team event,Wei Kim,Bronze
2004,Athens,GRC,USA,United States,Handball,Handball team event,Yuki Ahmed,Silver
1968,Mexico City,MEX,HUN,Hungary,Volleyball,Volleyball team event,Ana Nielsen,Bronze
2008,Beijing,CHN,BRA,Brazil,Handball,Handball team event,John Wang,Gold
1964,Tokyo,JPN,KOR,South Korea,Handball,Handball team event,Sofia Silva,Gold
2016,Rio,BRA,USA,United States,Cycling,Cycling event,Omar Rossi,Silver
1988,Seoul,KOR,AUS,Australia,Volleyball,Volleyball team event,Kenji Lopez,Gold
1988,Seoul,KOR,ESP,Spain,Swimming,Swimming event,Liu Nielsen,Bronze
2000,Sydney,AUS,AUS,Australia,Volleyball,Volleyball team event,Carlos Rossi,Bronze
1988,Seoul,KOR,GBR,Great Britain,Swimming,Swimming event,Anna Tanaka,Gold
1996,Atlanta,USA,ESP,Spain,Volleyball,Volleyball team event,Yuki Nielsen,Gold
1964,Tokyo,JPN,CUB,Cuba,Volleyball,Volleyball team event,Pavel Costa,Bronze
1960,Rome,ITA,MEX,Mexico,Relays,Relays team event,Anna Novak,Gold
2000,Sydney,AUS,USA,United States,Diving,Diving event,Omar Wang,Bronze
1988,Seoul,KOR,KEN,Kenya,Swimming,Swimming event,Liu Lopez,Gold
1972,Munich,FRG,FRA,France,Swimming,Swimming event,Carlos Nielsen,Gold
2016,Rio,BRA,NED,Netherlands,Volleyball,Volleyball team event,Wei Novak,Bronze
1996,Atlanta,USA,GRC,Greece,Football,Football team event,Anna Petrov,Gold
1996,Atlanta,USA,JPN,Japan,Volleyball,Volleyball team event,Sven Kim,Bronze
2012,London,GBR,GBR,Great Britain,Judo,Judo event,Ivan Park,Gold
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Carlos Lopez,Gold
1996,Atlanta,USA,KOR,South Korea,Fencing,Fencing event,Sofia Wang,Gold
2008,Beijing,CHN,CHN,China,Athletics,Athletics event,Maria Costa,Silver 
2004,Athens,GRC,GBR,Great Britain,Relays,Relays team event,Ana Lopez,Silver
2008,Beijing,CHN,NED,Netherlands,Swimming,Swimming event,Sofia Costa,Gold
1988,Seoul,KOR,CAN,Canada,Rowing,Rowing team event,Nadia Nielsen,Gold
1972,Munich,FRG,NED,Netherlands,Football,Football team event,Alex Novak,Silver
1996,Atlanta,USA,GBR,Great Britain,WaterPolo,WaterPolo team event,Liu Petrov,Silver
2016,Rio,BRA,RUS,Russia,Wrestling,Wrestling event,Liu Okafor,Gold
2012,London,GBR,AUS,Australia,Gymnastics,Gymnastics event,Sven Park,Gold
1976,Montreal,CAN,URS,Soviet Union,WaterPolo,WaterPolo team event,Omar Kim,Bronze
2016,Rio,BRA,ESP,Spain,Hockey,Hockey team event,Diego Andersson,Bronze
2004,Athens,GRC,NOR,Norway,Tennis,Tennis event,Ana Kim,Gold
1988,Seoul,KOR,FRA,France,Handball,Handball team event,Ana Costa,Gold
2004,Athens,GRC,CHN,China,Rowing,Rowing team event,Carlos Rossi,Gold
1968,Mexico City,MEX,CUB,Cuba,Wrestling,Wrestling event,Ivan Kim,Gold
1972,Munich,FRG,HUN,Hungary,Handball,Handball team event,Ana Tanaka,Silver
1976,Montreal,CAN,ITA,Italy,Cycling,Cycling event,Anna Andersson,Bronze
1980,Moscow,URS,HUN,Hungary,Gymnastics,Gymnastics event,Marco Tanaka,Gold
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Carlos Costa,Bronze
1992,Barcelona,ESP,JPN,Japan,Handball,Handball team event,Anna Costa,Bronze
1988,Seoul,KOR,AUS,Australia,Athletics,Athletics event,Elena Nielsen,Gold
1996,Atlanta,USA,CHN,China,Swimming,Swimming event,Ana Andersson,Bronze
1988,Seoul,KOR,CAN,Canada,Football,Football team event,Sven Wang,Gold
2016,Rio,BRA,AUS,Australia,Shooting,Shooting event,Sven Andersson,S
1976,Montreal,CAN,URS,Soviet Union,Basketball,Basketball team event,Sven Lopez,Bronze
1976,Montreal,CAN,USA,United States,WaterPolo,WaterPolo team event,Alex Smith,Gold
1996,Atlanta,USA,CZE,Czech Republic,Rowing,Rowing team event,Yuki Kovac,Gold
2004,Athens,GRC,AUS,Australia,Boxing,Boxing event,Sven Rossi,Silver
1988,Seoul,KOR,BRA,Brazil,Handball,Handball team event,Ana Nielsen,Silver
1964,Tokyo,JPN,GBR,Great Britain,Rowing,Rowing team event,Liu Zhang,Bronze
2004,Athens,GRC,ESP,Spain,Volleyball,Volleyball team event,Omar Lopez,Silver
2012,London,GBR,USA,United States,Fencing,Fencing event,John Andersson,Gold
1968,Mexico City,MEX,JPN,Japan,Handball,Handball team event,Yuki Andersson,Silver
2000,Sydney,AUS,AUS,Australia,Handball,Handball team event,Sofia Costa,Gold
1988,Seoul,KOR,NED,Netherlands,Cycling,Cycling event,Carlos Tanaka,Bronze
1964,Tokyo,JPN,KOR,South Korea,Football,Football team event,Sven Nielsen,Gold
2004,Athens,GRC,HUN,Hungary,WaterPolo,WaterPolo team event,Maria Smith,Bronze
1968,Mexico City,MEX,TCH,Czechoslovakia,Rowing,Rowing team event,Sven Nielsen,Silver
2008,Beijing,CHN,CHN,China,Wrestling,Wrestling event,Yuki Ahmed,Gold
2008,Beijing,CHN,ITA,Italy,Athletics,Athletics event,Omar Okafor,Silver
1964,Tokyo,JPN,CHN,China,Judo,Judo event,Lars Kim,Silver
1980,Moscow,URS,GDR,East Germany,Cycling,Cycling event,Maria Kim,Silver
1976,Montreal,CAN,USA,United States,Boxing,Boxing event,Wei Muller,Gold
2000,Sydney,AUS,RUS,Russia,Rowing,Rowing team event,Omar Silva,Bronze
1992,Barcelona,ESP,GER,Germany,Handball,Handball team event,Kenji Costa,Gold
1980,Moscow,URS,URS,Soviet Union,WaterPolo,WaterPolo team event,Wei Ahmed,Gold
2004,Athens,GRC,CHN,China,Football,Football team event,Anna Okafor,Silver
2016,Rio,BRA,BRA,Brazil,Swimming,Swimming event,John Kim,Gold
2004,Athens,GRC,GBR,Great Britain,Rowing,Rowing team event,Omar Kim,Bronze
2012,London,GBR,BRA,Brazil,Judo,Judo event,Wei Rossi,Gold
1984,Los Angeles,USA,USA,United States,Football,Football team event,Sofia Kim,Bronze
2016,Rio,BRA,CHN,China,Handball,Handball team event,Sofia Costa,Bronze
2000,Sydney,AUS,USA,United States,Handball,Handball team event,Maria Rossi,Gold
1960,Rome,ITA,ITA,Italy,Athletics,Athletics event,Ivan Smith,Bronze
2016,Rio,BRA,JPN,Japan,Volleyball,Volleyball team event,Sven Costa,Silver
2008,Beijing,CHN,JAM,Jamaica,Gymnastics,Gymnastics event,Diego Ahmed,Silver
1996,Atlanta,USA,USA,United States,Weightlifting,Weightlifting event,Ana Ahmed,Gold
1992,Barcelona,ESP,HUN,Hungary,Basketball,Basketball team event,John Muller,Silver
1996,Atlanta,USA,ESP,Spain,Weightlifting,Weightlifting event,Carlos Smith,Bronze
2008,Beijing,CHN,CUB,Cuba,Basketball,Basketball team event,Liu Nielsen,Gold
1980,Moscow,URS,CUB,Cuba,Hockey,Hockey team event,Pavel Rossi,Gold
1972,Munich,FRG,JAM,Jamaica,Athletics,Athletics event,Ivan Tanaka,Gold
1972,Munich,FRG,TCH,Czechoslovakia,WaterPolo,WaterPolo team event,John Zhang,B
2016,Rio,BRA,CHN,China,Volleyball,Volleyball team event,Wei Lopez,Silver
1976,Montreal,CAN,USA,United States,WaterPolo,WaterPolo team event,Anna Wang,Gold
1980,Moscow,URS,YUG,Yugoslavia,Athletics,Athletics event,John Zhang,Gold
2008,Beijing,CHN,GER,Germany,Swimming,Swimming event,Omar Kim,Silver 
2016,Rio,BRA,GER,Germany,Weightlifting,Weightlifting event,Wei Muller,Bronze
2012,London,GBR,MEX,Mexico,Football,Football team event,Ana Novak,1st
2008,Beijing,CHN,GBR,Great Britain,Football,Football team event,Liu Novak,Bronze
2008,Beijing,CHN,JAM,Jamaica,Cycling,Cycling event,Omar Muller,Gold
2016,Rio,BRA,RUS,Russia,Athletics,Athletics event,Lars Wang,Silver
1988,Seoul,KOR,KOR,South Korea,Judo,Judo event,Kenji Silva,Gold
1960,Rome,ITA,NED,Netherlands,Gymnastics,Gymnastics event,Ana Silva,Gold
2016,Rio,BRA,USA,United States,Football,Football team event,Diego Okafor,Bronze
2016,Rio,BRA,RUS,Russia,Relays,Relays team event,Ivan Costa,Gold
1968,Mexico City,MEX,GDR,East Germany,Fencing,Fencing event,Sofia Wang,2nd
1988,Seoul,KOR,GRC,Greece,Boxing,Boxing event,Ivan Lopez,Gold
2012,London,GBR,KOR,South Korea,WaterPolo,WaterPolo team event,Carlos Wang,Gold
1976,Montreal,CAN,AUS,Australia,Relays,Relays team event,Sven Nielsen,Silver
2004,Athens,GRC,RUS,Russia,Relays,Relays team event,Ana Petrov,Silver
1996,Atlanta,USA,USA,United States,Athletics,Athletics event,Ana Kovac,Bronze
1972,Munich,FRG,JPN,Japan,Judo,Judo event,Omar Andersson,Bronze
1996,Atlanta,USA,USA,United States,Volleyball,Volleyball team event,Kenji Ahmed,Silver
2000,Sydney,AUS,GBR,Great Britain,Diving,Diving event,Omar Andersson,Gold
1984,Los Angeles,USA,FRA,France,Cycling,Cycling event,Sven Smith,Gold
2016,Rio,BRA,KOR,South Korea,Swimming,Swimming event,John Nielsen,Gold
1964,Tokyo,JPN,USA,United States,Hockey,Hockey team event,Nadia Zhang,Gold
2016,Rio,BRA,BRA,Brazil,Wrestling,Wrestling event,Marco Silva,Bronze
1984,Los Angeles,USA,FRA,France,Rowing,Rowing team event,Sven Nielsen,Gold
1968,Mexico City,MEX,CUB,Cuba,Football,Football team event,Sven Wang,Bronze
1976,Montreal,CAN,URS,Soviet Union,Swimming,Swimming event,Maria Wang,Silver
2012,London,GBR,JPN,Japan,Basketball,Basketball team event,Maria Muller,Gold
1996,Atlanta,USA,ESP,Spain,Wrestling,Wrestling event,Ivan Smith,Gold
1992,Barcelona,ESP,GBR,Great Britain,Hockey,Hockey team event,Wei Okafor,Silver
1980,Moscow,URS,TCH,Czechoslovakia,Wrestling,Wrestling event,Marco Rossi,Bronze
2000,Sydney,AUS,AUS,Australia,Basketball,Basketball team event,Diego Costa,Bronze
2000,Sydney,AUS,AUS,Australia,Boxing,Boxing event,Nadia Silva,Bronze
1976,Montreal,CAN,USA,United States,Swimming,Swimming event,John Smith,Silver
2012,London,GBR,USA,United States,Wrestling,Wrestling event,Liu Kim,Bronze
1980,Moscow,URS,GDR,East Germany,Handball,Handball team event,Elena Novak,Bronze
1972,Munich,FRG,JPN,Japan,Athletics,Athletics event,Alex Nielsen,Bronze
2012,London,GBR,FRA,France,Football,Football team event,Sofia Rossi,Gold
2000,Sydney,AUS,FRA,France,Rowing,Rowing team event,Ivan Park,Gold
2008,Beijing,CHN,CAN,Canada,Football,Football team event,John Ahmed,Silver
2000,Sydney,AUS,USA,United States,WaterPolo,WaterPolo team event,Maria Wang,Gold
1960,Rome,ITA,URS,Soviet Union,WaterPolo,WaterPolo team event,Elena Muller,Silver
2004,Athens,GRC,RUS,Russia,Rowing,Rowing team event,Wei Tanaka,Gold
2016,Rio,BRA,GER,Germany,Swimming,Swimming event,Anna Novak,Bronze
2004,Athens,GRC,CUB,Cuba,WaterPolo,WaterPolo team event,Liu Park,Silver
1992,Barcelona,ESP,AUS,Australia,Athletics,Athletics event,Anna Tanaka,Silver
2000,Sydney,AUS,CAN,Canada,Basketball,Basketball team event,Wei Lopez,Silver
1984,Los Angeles,USA,CHN,China,Diving,Diving event,Sven Muller,Bronze
1980,Moscow,URS,HUN,Hungary,Hockey,Hockey team event,Omar Lopez,Bronze
1980,Moscow,URS,URS,Soviet Union,Wrestling,Wrestling event,Yuki Kovac,Gold
1976,Montreal,CAN,CAN,Canada,Shooting,Shooting event,Maria Ahmed,Silver
2000,Sydney,AUS,RUS,Russia,Football,Football team event,Lars Smith,Silver
2000,Sydney,AUS,GBR,Great Britain,Athletics,Athletics event,Ivan Costa,Gold
1992,Barcelona,ESP,NED,Netherlands,Athletics,Athletics event,Diego Costa,Bronze
1980,Moscow,URS,TCH,Czechoslovakia,Cycling,Cycling event,Diego Ahmed,Gold
2016,Rio,BRA,CHN,China,WaterPolo,WaterPolo team event,Ivan Costa,Bronze
1964,Tokyo,JPN,GBR,Great Britain,Rowing,Rowing team event,Anna Smith,Bronze
2004,Athens,GRC,CHN,China,Basketball,Basketball team event,Omar Petrov,Silver
2000,Sydney,AUS,BRA,Brazil,Tennis,Tennis event,Kenji Tanaka,Silver
1992,Barcelona,ESP,RUS,Russia,Athletics,Athletics event,Carlos Ahmed,Gold
1964,Tokyo,JPN,NED,Netherlands,Judo,Judo event,Omar Tanaka,Bronze
2008,Beijing,CHN,ESP,Spain,Volleyball,Volleyball team event,Omar Costa,Silver
1992,Barcelona,ESP,GER,Germany,Rowing,Rowing team event,Sofia Rossi,Bronze
2004,Athens,GRC,JPN,Japan,Gymnastics,Gymnastics event,Maria Muller,Gold
1996,Atlanta,USA,HUN,Hungary,Wrestling,Wrestling event,Liu Kim,Bronze
1980,Moscow,URS,URS,Soviet Union,Handball,Handball team event,Kenji Silva,Silver
2012,London,GBR,CHN,China,Handball,Handball team event,Alex Nielsen,Bronze
1988,Seoul,KOR,USA,United States,Wrestling,Wrestling event,Pavel Rossi,Silver
1984,Los Angeles,USA,GBR,Great Britain,Swimming,Swimming event,Alex Ahmed,Bronze
2004,Athens,GRC,GER,Germany,Swimming,Swimming event,Yuki Nielsen,Bronze
2008,Beijing,CHN,CRO,Croatia,Athletics,Athletics event,Lars Petrov,Silver
1980,Moscow,URS,URS,Soviet Union,Diving,Diving event,Wei Muller,Bronze
1960,Rome,ITA,CHN,China,Volleyball,Volleyball team event,Sofia Andersson,Gold
2008,Beijing,CHN,HUN,Hungary,Swimming,Swimming event,Nadia Park,Silver
1984,Los Angeles,USA,USA,United States,WaterPolo,WaterPolo team event,Nadia Okafor,Silver
